Indicador ;Área;Regimen ;Número casos Hombre;Número casos Mujer;Población  encuestada Hombre;Población  encuestada Mujer;Año
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Suba;Contributivo;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Suba;Subsidiado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Suba;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Suba;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Suba;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Barrios Unidos;Contributivo;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Barrios Unidos;Subsidiado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Barrios Unidos;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Barrios Unidos;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Barrios Unidos;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Teusaquillo;Contributivo;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Teusaquillo;Subsidiado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Teusaquillo;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Teusaquillo;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Teusaquillo;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Los Mártires;Contributivo;24;42;58;64;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Los Mártires;Subsidiado ;10;32;44;66;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Los Mártires;No asegurado ;4;2;7;4;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Los Mártires;Especial;2;2;2;4;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Los Mártires;No reporta;4;7;27;31;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Antonio Nariño;Contributivo;5;18;26;59;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Antonio Nariño;Subsidiado ;4;10;18;26;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Antonio Nariño;No asegurado ;0;1;0;3;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Antonio Nariño;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Antonio Nariño;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Puente Aranda;Contributivo;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Puente Aranda;Subsidiado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Puente Aranda;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Puente Aranda;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Puente Aranda;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;La Candelaria;Contributivo;0;1;0;1;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;La Candelaria;Subsidiado ;2;0;2;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;La Candelaria;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;La Candelaria;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;La Candelaria;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Rafael Uribe Uribe;Contributivo;6;10;49;66;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Rafael Uribe Uribe;Subsidiado ;7;8;33;34;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Rafael Uribe Uribe;No asegurado ;0;0;1;2;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Rafael Uribe Uribe;Especial;0;1;3;3;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Rafael Uribe Uribe;No reporta;0;0;1;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Ciudad Bolívar;Contributivo;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Ciudad Bolívar;Subsidiado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Ciudad Bolívar;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Ciudad Bolívar;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Ciudad Bolívar;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Distrito;Contributivo;72;156;273;382;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Distrito;Subsidiado ;30;63;114;149;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Distrito;No asegurado ;5;4;10;11;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Distrito;Especial;5;8;13;20;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Distrito;No reporta;6;15;40;53;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;Contributivo;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;Subsidiado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;Especial;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;Contributivo;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;Subsidiado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;Especial;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;Contributivo;2;11;28;42;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;Subsidiado ;7;10;28;39;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;No asegurado ;0;0;3;3;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;Especial;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;Contributivo;1;0;29;16;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;Subsidiado ;0;0;13;10;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;No asegurado ;0;0;1;3;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;Especial;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;Contributivo;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;Subsidiado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;Especial;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;Contributivo;16;13;39;23;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;Subsidiado ;9;11;20;22;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;No asegurado ;0;0;2;3;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;Especial;3;3;6;4;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;Contributivo;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;Subsidiado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;Especial;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;Contributivo;1;12;65;63;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;Subsidiado ;0;0;11;5;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;Especial;0;0;3;11;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;Contributivo;39;73;101;112;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;Subsidiado ;2;5;6;9;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;Especial;2;0;8;2;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;Contributivo;17;54;45;109;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;Subsidiado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;Especial;1;1;2;2;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Suba;Contributivo;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Suba;Subsidiado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Suba;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Suba;Especial;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Suba;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Barrios Unidos;Contributivo;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Barrios Unidos;Subsidiado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Barrios Unidos;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Barrios Unidos;Especial;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Barrios Unidos;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Teusaquillo;Contributivo;28;36;70;67;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Teusaquillo;Subsidiado ;2;7;7;9;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Teusaquillo;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Teusaquillo;Especial;2;1;6;3;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Teusaquillo;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Los Mártires;Contributivo;8;12;29;28;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Los Mártires;Subsidiado ;10;21;44;42;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Los Mártires;No asegurado ;1;7;4;8;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Los Mártires;Especial;0;0;0;1;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Los Mártires;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Antonio Nariño;Contributivo;0;0;12;10;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Antonio Nariño;Subsidiado ;0;0;3;3;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Antonio Nariño;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Antonio Nariño;Especial;0;0;1;1;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Antonio Nariño;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Puente Aranda;Contributivo;2;8;61;75;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Puente Aranda;Subsidiado ;0;0;6;9;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Puente Aranda;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Puente Aranda;Especial;1;1;4;3;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Puente Aranda;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;La Candelaria;Contributivo;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;La Candelaria;Subsidiado ;0;0;1;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;La Candelaria;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;La Candelaria;Especial;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;La Candelaria;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Rafael Uribe Uribe;Contributivo;0;0;14;24;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Rafael Uribe Uribe;Subsidiado ;0;0;6;11;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Rafael Uribe Uribe;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Rafael Uribe Uribe;Especial;0;0;1;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Rafael Uribe Uribe;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Ciudad Bolívar;Contributivo;13;12;16;22;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Ciudad Bolívar;Subsidiado ;4;10;7;14;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Ciudad Bolívar;No asegurado ;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Ciudad Bolívar;Especial;0;1;0;1;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Ciudad Bolívar;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Distrito;Contributivo;127;231;509;591;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Distrito;Subsidiado ;34;64;152;173;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Distrito;No asegurado ;1;7;10;17;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Distrito;Especial;9;7;31;28;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Distrito;No reporta;0;0;0;0;2016
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;Contributivo;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;Subsidiado ;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;No asegurado ;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;Especial;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;No reporta;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;Contributivo;17;19;57;45;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;Subsidiado ;11;9;35;33;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;No asegurado ;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;Especial;0;0;1;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;No reporta;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;Contributivo;4;13;39;63;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;Subsidiado ;1;9;17;48;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;No asegurado ;2;1;2;8;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;Especial;0;0;0;1;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;No reporta;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;Contributivo;5;2;43;35;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;Subsidiado ;2;0;21;12;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;No asegurado ;0;0;2;3;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;Especial;0;0;0;1;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;No reporta;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;Contributivo;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;Subsidiado ;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;No asegurado ;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;Especial;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;No reporta;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;Contributivo;17;31;62;60;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;Subsidiado ;8;13;29;29;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;No asegurado ;2;6;4;9;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;Especial;1;0;3;3;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;No reporta;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;Contributivo;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;Subsidiado ;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;No asegurado ;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;Especial;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;No reporta;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;Contributivo;15;20;53;52;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;Subsidiado ;1;3;2;4;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;No asegurado ;1;0;2;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;Especial;1;0;5;4;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;No reporta;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;Contributivo;50;75;153;155;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;Subsidiado ;14;24;32;36;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;No asegurado ;1;4;2;7;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;Especial;2;2;7;8;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;No reporta;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;Contributivo;36;58;81;90;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;Subsidiado ;0;1;8;7;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;No asegurado ;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;Especial;1;0;2;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;No reporta;0;0;0;0;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Suba;Contributivo;22;15;37;30;2017
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Suba;Subsidiado ;3;4;7;7;2017
