Indicador;Área;Régimen;Hombres con presencia del evento;Mujeres con presencia del evento;Hombres encuestado;Mujeres encuestada;Año
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Especial;2;1;3;3;2013
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Contributivo;17;14;70;68;2013
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Subsidiado ;3;1;12;6;2013
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;No asegurado ;1;0;1;0;2013
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Especial;1;0;2;4;2013
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Contributivo;1;0;10;16;2013
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Subsidiado ;1;0;10;8;2013
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;No asegurado ;1;1;2;1;2013
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Especial;0;0;2;0;2013
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Contributivo;12;10;87;86;2013
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Subsidiado ;2;5;34;40;2013
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;No asegurado ;1;0;4;1;2013
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Especial;1;1;7;3;2013
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Contributivo;14;24;118;104;2013
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Subsidiado ;10;10;71;76;2013
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;No asegurado ;0;0;0;0;2013
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Especial;0;0;1;2;2013
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Contributivo;308;238;2.064;1.856;2013
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Subsidiado ;123;130;1.022;1.033;2013
Prevalencia de sibilancia en niños menores de 5 años;Distrito;No asegurado ;7;9;47;57;2013
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Especial;11;10;83;83;2013
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Contributivo;48;33;214;194;2014
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Subsidiado ;8;17;81;77;2014
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;No asegurado ;1;0;3;2;2014
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Especial;0;1;7;10;2014
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Contributivo;6;1;37;38;2014
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Subsidiado ;6;0;34;28;2014
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;No asegurado ;0;0;0;0;2014
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Especial;0;0;1;0;2014
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Contributivo;3;2;19;18;2014
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Subsidiado ;1;5;27;37;2014
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;No asegurado ;0;1;1;2;2014
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Especial;0;0;0;0;2014
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Contributivo;12;10;107;105;2014
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Subsidiado ;11;3;72;64;2014
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;No asegurado ;0;0;1;5;2014
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Especial;0;2;3;5;2014
Prevalencia de sibilancia en niños menores de 5 años;Usme;Contributivo;6;3;214;203;2014
Prevalencia de sibilancia en niños menores de 5 años;Usme;Subsidiado ;3;5;112;113;2014
Prevalencia de sibilancia en niños menores de 5 años;Usme;No asegurado ;0;0;3;2;2014
Prevalencia de sibilancia en niños menores de 5 años;Usme;Especial;0;0;11;14;2014
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Contributivo;18;28;88;108;2014
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Subsidiado ;22;14;80;77;2014
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;No asegurado ;0;0;0;2;2014
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Especial;3;0;4;3;2014
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Contributivo;14;10;115;118;2014
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Subsidiado ;5;10;82;98;2014
Prevalencia de sibilancia en niños menores de 5 años;Bosa;No asegurado ;0;0;3;3;2014
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Especial;0;0;4;6;2014
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Contributivo;12;10;78;64;2014
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Subsidiado ;7;5;38;44;2014
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;No asegurado ;0;0;3;1;2014
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Especial;0;0;4;0;2014
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Contributivo;13;14;111;101;2014
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Subsidiado ;10;3;53;36;2014
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;No asegurado ;0;0;0;1;2014
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Especial;1;0;2;2;2014
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Contributivo;15;10;125;139;2014
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Subsidiado ;1;0;21;20;2014
Prevalencia de sibilancia en niños menores de 5 años;Engativá;No asegurado ;0;0;1;1;2014
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Especial;0;0;4;4;2014
Prevalencia de sibilancia en niños menores de 5 años;Suba;Contributivo;26;24;130;110;2014
Prevalencia de sibilancia en niños menores de 5 años;Suba;Subsidiado ;10;11;77;73;2014
Prevalencia de sibilancia en niños menores de 5 años;Suba;No asegurado ;1;1;2;5;2014
Prevalencia de sibilancia en niños menores de 5 años;Suba;Especial;0;1;1;3;2014
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Contributivo;6;3;42;43;2014
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Subsidiado ;5;1;29;32;2014
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;No asegurado ;0;0;0;0;2014
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Especial;0;0;2;2;2014
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Contributivo;9;5;72;71;2014
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Subsidiado ;0;0;0;0;2014
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;No asegurado ;0;0;1;0;2014
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Especial;1;0;4;1;2014
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Contributivo;4;3;24;21;2014
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Subsidiado ;2;3;7;10;2014
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;No asegurado ;0;0;1;2;2014
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Especial;0;0;1;1;2014
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Contributivo;4;3;27;31;2014
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Subsidiado ;0;1;5;4;2014
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;No asegurado ;0;0;1;2;2014
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Especial;0;0;1;1;2014
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Contributivo;8;14;80;74;2014
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Subsidiado ;2;1;31;21;2014
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;No asegurado ;0;0;1;3;2014
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Especial;1;0;4;4;2014
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Contributivo;0;0;2;1;2014
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Subsidiado ;0;0;2;1;2014
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;No asegurado ;0;0;0;0;2014
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Especial;0;0;0;0;2014
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Contributivo;22;16;85;78;2014
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Subsidiado ;5;5;50;48;2014
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;No asegurado ;0;0;4;1;2014
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Especial;1;0;2;2;2014
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Contributivo;18;17;108;90;2014
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Subsidiado ;20;19;131;107;2014
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;No asegurado ;1;2;11;14;2014
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Especial;0;0;2;1;2014
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Contributivo;244;206;1.678;1607;2014
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Subsidiado ;118;103;932;890;2014
Prevalencia de sibilancia en niños menores de 5 años;Distrito;No asegurado ;3;4;36;46;2014
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Especial;7;4;57;59;2014
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Contributivo;27;24;193;179;2015
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Subsidiado ;10;3;63;51;2015
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;No asegurado ;0;0;1;1;2015
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Especial;0;1;5;3;2015
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Contributivo;5;0;28;44;2015
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Subsidiado ;2;1;29;24;2015
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;No asegurado ;0;0;0;0;2015
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Especial;1;0;1;0;2015
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Contributivo;5;7;62;57;2015
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Subsidiado ;2;3;53;48;2015
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;No asegurado ;0;0;0;0;2015
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Especial;0;0;1;1;2015
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Contributivo;48;45;169;137;2015
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Subsidiado ;24;16;65;55;2015
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;No asegurado ;2;0;3;1;2015
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Especial;4;1;8;6;2015
Prevalencia de sibilancia en niños menores de 5 años;Usme;Contributivo;10;10;112;119;2015
Prevalencia de sibilancia en niños menores de 5 años;Usme;Subsidiado ;7;7;101;89;2015
Prevalencia de sibilancia en niños menores de 5 años;Usme;No asegurado ;0;0;2;3;2015
Prevalencia de sibilancia en niños menores de 5 años;Usme;Especial;0;0;1;6;2015
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Contributivo;26;30;164;139;2015
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Subsidiado ;0;1;93;102;2015
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;No asegurado ;1;1;5;3;2015
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Especial;0;1;3;7;2015
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Contributivo;11;14;129;118;2015
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Subsidiado ;5;2;50;51;2015
Prevalencia de sibilancia en niños menores de 5 años;Bosa;No asegurado ;0;0;3;3;2015
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Especial;2;0;7;3;2015
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Contributivo;17;20;151;159;2015
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Subsidiado ;10;12;106;92;2015
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;No asegurado ;0;1;0;2;2015
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Especial;1;0;3;5;2015
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Contributivo;23;15;112;105;2015
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Subsidiado ;1;0;41;24;2015
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;No asegurado ;0;0;0;0;2015
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Especial;0;0;4;3;2015
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Contributivo;16;6;132;116;2015
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Subsidiado ;0;1;28;30;2015
Prevalencia de sibilancia en niños menores de 5 años;Engativá;No asegurado ;0;1;1;3;2015
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Especial;1;1;7;8;2015
Prevalencia de sibilancia en niños menores de 5 años;Suba;Contributivo;18;18;119;101;2015
Prevalencia de sibilancia en niños menores de 5 años;Suba;Subsidiado ;1;5;26;24;2015
Prevalencia de sibilancia en niños menores de 5 años;Suba;No asegurado ;0;0;0;1;2015
Prevalencia de sibilancia en niños menores de 5 años;Suba;Especial;0;0;2;3;2015
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Contributivo;4;3;47;37;2015
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Subsidiado ;2;1;19;22;2015
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;No asegurado ;0;0;0;0;2015
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Especial;0;0;1;0;2015
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Contributivo;3;8;41;64;2015
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Subsidiado ;0;0;10;4;2015
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;No asegurado ;0;0;0;0;2015
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Especial;0;1;0;1;2015
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Contributivo;5;3;59;59;2015
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Subsidiado ;20;19;98;107;2015
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;No asegurado ;0;3;1;5;2015
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Especial;2;0;3;0;2015
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Contributivo;2;4;83;80;2015
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Subsidiado ;0;0;23;19;2015
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;No asegurado ;0;0;4;4;2015
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Especial;0;0;2;1;2015
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Contributivo;14;11;186;153;2015
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Subsidiado ;0;8;41;40;2015
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;No asegurado ;0;1;0;1;2015
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Especial;1;0;5;5;2015
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Contributivo;1;0;7;7;2015
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Subsidiado ;0;0;3;5;2015
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;No asegurado ;0;0;0;0;2015
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Especial;0;0;0;0;2015
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Contributivo;9;3;94;93;2015
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Subsidiado ;1;2;26;35;2015
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;No asegurado ;0;0;5;3;2015
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Especial;0;0;1;2;2015
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Contributivo;23;27;125;125;2015
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Subsidiado ;15;15;86;74;2015
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;No asegurado ;0;0;8;7;2015
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Especial;2;2;9;7;2015
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Contributivo;267;248;2.013;1.892;2015
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Subsidiado ;100;96;961;896;2015
Prevalencia de sibilancia en niños menores de 5 años;Distrito;No asegurado ;14;13;33;37;2015
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Especial;34;19;63;61;2015
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Contributivo;44;27;204;202;2016
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Subsidiado ;3;8;69;60;2016
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;No asegurado ;0;0;1;0;2016
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Especial;0;1;7;5;2016
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Contributivo;2;3;47;35;2016
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Subsidiado ;1;0;22;20;2016
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;No asegurado ;0;0;0;0;2016
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Especial;0;0;1;1;2016
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Contributivo;1;4;24;23;2016
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Subsidiado ;4;2;14;19;2016
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;No asegurado ;0;0;0;3;2016
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Especial;0;0;0;1;2016
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Contributivo;5;4;116;114;2016
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Subsidiado ;1;1;42;42;2016
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;No asegurado ;0;0;4;0;2016
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Especial;1;1;6;3;2016
Prevalencia de sibilancia en niños menores de 5 años;Usme;Contributivo;13;12;144;146;2016
Prevalencia de sibilancia en niños menores de 5 años;Usme;Subsidiado ;9;4;94;57;2016
Prevalencia de sibilancia en niños menores de 5 años;Usme;No asegurado ;0;0;0;3;2016
Prevalencia de sibilancia en niños menores de 5 años;Usme;Especial;3;1;3;2;2016
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Contributivo;25;20;130;132;2016
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Subsidiado ;24;9;100;80;2016
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;No asegurado ;2;2;6;4;2016
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Especial;2;1;3;10;2016
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Contributivo;3;2;113;80;2016
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Subsidiado ;5;0;52;30;2016
Prevalencia de sibilancia en niños menores de 5 años;Bosa;No asegurado ;0;0;11;10;2016
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Especial;0;0;1;2;2016
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Contributivo;5;6;67;75;2016
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Subsidiado ;3;2;34;24;2016
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;No asegurado ;0;0;0;1;2016
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Especial;1;0;2;2;2016
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Contributivo;8;9;84;72;2016
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Subsidiado ;0;0;5;7;2016
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;No asegurado ;0;0;0;1;2016
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Especial;0;0;2;6;2016
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Contributivo;16;17;152;139;2016
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Subsidiado ;0;2;13;20;2016
Prevalencia de sibilancia en niños menores de 5 años;Engativá;No asegurado ;0;0;1;5;2016
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Especial;0;0;2;4;2016
Prevalencia de sibilancia en niños menores de 5 años;Suba;Contributivo;10;0;118;108;2016
Prevalencia de sibilancia en niños menores de 5 años;Suba;Subsidiado ;2;3;72;72;2016
Prevalencia de sibilancia en niños menores de 5 años;Suba;No asegurado ;0;0;7;6;2016
Prevalencia de sibilancia en niños menores de 5 años;Suba;Especial;1;0;3;2;2016
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Contributivo;6;5;48;35;2016
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Subsidiado ;0;2;15;19;2016
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;No asegurado ;0;0;0;0;2016
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Especial;0;0;2;3;2016
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Contributivo;4;6;37;38;2016
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Subsidiado ;0;0;1;1;2016
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;No asegurado ;0;0;0;0;2016
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Especial;1;0;5;2;2016
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Contributivo;5;2;18;20;2016
